store_name,address,city,postal_code,phone_number,hours_of_operation,owner_details,website,distance_km
CANNA CABANA,"1317 BARTON STREET EAST UNIT H09, HAMILTON, ON, L8H 2V4",HAMILTON,L8H 2V4,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,8.396528136243331
The Gym Cannabis,"135 JAMES ST N, HAMILTON, ON, L8R2K8",HAMILTON,L8R2K8,Not listed,Not listed,Not publicly disclosed,,9.12098425018194
Canna Cabana  Burlington ,"2400 GUELPH LINE UNIT 2, BURLINGTON, ON, L7P4M7",BURLINGTON,L7P4M7,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,6.205825502628462
SPIRITLEAF 64 HAMILTON STREET NORTH,"64 HAMILTON ST N UNIT 2A, WATERDOWN, ON, L8B0E6",WATERDOWN,L8B0E6,289-895-9038,"Hours of Operation: Monday 10:00 AM - 9:00 PM Tuesday 10:00 AM - 9:00 PM Wednesday 10:00 AM - 9:00 PM Thursday 10:00 AM - 9:00 PM Friday 10:00 AM - 9:00 PM Saturday 10:00 AM - 9:00 PM Sunday 11:00 AM - 6:00 PM 2A-64 Hamilton Street North, Hamilton, Ontario, L8B 0E6 P: 289-895-9038 E: waterdown@spiri",Not publicly disclosed,https://spiritleaf.ca/collections/spiritleaf-waterdown,7.930907878903196
SilverLeaf Cannabis,"171 MOHAWK RD E, UNIT 1, HAMILTON, ON, L9A 2H4",HAMILTON,L9A 2H4,Not listed,Not listed,Not publicly disclosed,,12.513449740344337
GRASS STATION,"53 DUNDAS ST E SUITE 2, WATERDOWN, ON, L8B0X1",WATERDOWN,L8B0X1,Not listed,Not listed,Not publicly disclosed,,9.336322981589769
Cannabis Supply Co.,"57 JOHN ST S, HAMILTON, ON, L8N2B9",HAMILTON,L8N2B9,Not listed,Not listed,Not publicly disclosed,,9.658262393200198
420Love,"246-248 KING STREET WEST, HAMILTON, ON, L8P1A9",HAMILTON,L8P1A9,Not listed,Not listed,Not publicly disclosed,,9.719559239965555
Sessions Cannabis ,"712 MOHAWK RD E UNIT 1, HAMILTON, ON, L8T2P8",HAMILTON,L8T2P8,(905) 318-0987,1 month ago,Not publicly disclosed,https://www.sessions.ca/locations/724-mohawk-rd-e-hamilton-dispensary/,12.360916229145763
Hamilton Cannabis Co.,"525 MOHAWK RD E, HAMILTON, ON, L8V2J5",HAMILTON,L8V2J5,Not listed,Not listed,Not publicly disclosed,https://www.shophcc.ca,12.346340244964257
HIGHLIFE CANNABIS UP AFFX,"919 UPPER PARADISE RD UNIT 5, HAMILTON, ON, L9B2M9",HAMILTON,L9B2M9,Not listed,Not listed,Not publicly disclosed,https://highlife.ca,15.43624605169524
Canada Buds,"1860 APPLEBY LINE UNIT 11B, BURLINGTON, ON , L7L7H7",BURLINGTON,L7L7H7,(905) 319-2934,Monday -  Saturday 9am- 10pm | Sunday: 10am - 9pm | Monday- Wednesday- 9am - 9pm | Thursday/Saturday- 9am - 10pm | Sunday- 11am - 7pm,Not publicly disclosed,https://www.canada-buds.ca,7.42412915567251
